,player_api_id,player_name,height,weight,count_plays,overall_rating,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
442,30713.0,Marco Amelia,190.5,198,88.0,75.82,76.36,74.36,72.09,75.0,78.73
268,30582.0,Jose Moreira,185.42,183,9.0,75.78,75.67,75.56,73.56,76.78,76.78
204,24494.0,Cesar Sanchez,185.42,181,64.0,75.78,75.67,72.78,76.78,82.0,76.78
412,41671.0,Emiliano Viviano,195.58,198,190.0,75.73,76.73,75.33,70.27,74.6,79.13
163,30973.0,Lukasz Fabianski,190.5,183,102.0,75.64,77.93,72.36,70.0,73.14,82.5
465,23686.0,Manuel Almunia,193.04,205,69.0,75.6,77.8,75.7,76.7,68.1,80.3
723,36622.0,Jerzy Dudek,187.96,172,1.0,75.6,77.2,75.0,56.0,74.8,79.6
97,69650.0,Brad Guzan,193.04,209,142.0,75.55,77.64,74.18,67.41,73.23,79.36
120,212512.0,Jasper Cillessen,185.42,183,128.0,75.47,76.53,74.95,73.79,73.42,77.0
235,157284.0,Zeljko Brkic,198.12,209,85.0,75.31,80.85,70.62,59.23,77.38,79.0
536,27615.0,Marco Storari,187.96,168,68.0,75.27,77.33,72.33,68.53,76.13,80.0
292,184554.0,Marc-Andre ter Stegen,187.96,187,114.0,75.22,75.44,75.89,73.56,71.33,78.89
693,41087.0,Ron-Robert Zieler,187.96,183,185.0,75.17,77.42,73.17,68.5,73.17,77.25
514,23932.0,Jussi Jaaskelainen,190.5,176,185.0,75.17,77.44,73.78,73.17,76.06,77.39
658,169756.0,Adrian,187.96,170,121.0,75.12,73.94,76.81,68.25,74.0,78.94
51,39170.0,Andrea Consigli,187.96,181,222.0,75.12,77.19,72.44,68.06,75.0,80.06
176,97498.0,Beto,182.88,179,112.0,75.1,75.6,74.2,73.1,73.4,76.9
476,32496.0,Allan McGregor,182.88,185,187.0,75.07,76.53,74.6,68.13,74.67,78.4
583,51949.0,Keylor Navas,185.42,172,87.0,75.06,80.72,68.0,66.5,70.5,82.0
65,28955.0,Wilfredo Caballero,185.42,176,122.0,75.06,76.06,70.38,66.88,76.88,78.69
724,33732.0,Jose Manuel Pinto,185.42,181,30.0,75.0,77.6,75.8,74.6,75.6,72.0
703,30664.0,Leonardo Franco,187.96,174,57.0,75.0,74.7,73.4,76.7,75.3,77.1
736,36617.0,Andreas Isaksson,198.12,190,101.0,74.94,77.72,70.22,65.22,76.33,77.28
478,115184.0,Danijel Subasic,190.5,185,108.0,74.92,74.5,73.58,73.92,74.25,76.92
188,43283.0,Eduardo,187.96,185,116.0,74.85,75.38,72.92,70.92,75.69,76.15
612,26002.0,Kenneth Vermeer,182.88,172,155.0,74.85,77.85,68.05,67.25,72.75,81.05
56,46518.0,Asmir Begovic,200.66,183,183.0,74.75,77.31,71.31,71.19,71.19,79.25
210,37579.0,Tono,182.88,176,175.0,74.75,78.25,68.08,71.0,76.5,77.42
260,177126.0,Jan Oblak,185.42,192,108.0,74.73,72.55,78.55,65.64,76.27,75.0
824,27433.0,Raphael Schaefer,190.5,207,153.0,74.58,75.42,72.63,62.26,74.11,77.21
372,37503.0,Albano Benjamin Bizzarri,193.04,196,108.0,74.58,75.17,73.25,71.92,77.5,75.83
377,25735.0,Juan Pablo Carrizo,187.96,192,55.0,74.56,75.78,73.33,71.33,74.83,78.0
165,167035.0,Anthony Lopes,182.88,179,112.0,74.55,77.9,71.3,70.2,71.95,79.75
373,39415.0,Mariano Andujar,193.04,194,160.0,74.53,73.29,74.41,62.29,77.18,77.06
174,109060.0,Sergio Romero,193.04,192,101.0,74.46,76.77,68.15,77.46,70.54,79.15
704,24591.0,Ricardo,187.96,194,86.0,74.4,72.8,73.8,77.4,79.5,72.7
946,33599.0,Daniel Moreira,177.8,165,1.0,74.4,10.8,17.4,28.2,17.2,16.4
144,26173.0,Faryd Mondragon,190.5,207,75.0,74.33,72.5,76.75,64.92,78.5,71.75
520,245555.0,Geronimo Rulli,187.96,176,58.0,74.33,77.0,73.11,67.11,72.33,77.22
253,30990.0,Justo Villar,180.34,187,38.0,74.27,77.82,74.55,74.82,74.45,74.91
621,172157.0,Rafael,185.42,183,30.0,74.23,77.54,72.08,68.31,73.85,78.54
502,30900.0,Kossi Agassa,190.5,187,94.0,74.19,74.88,75.75,61.69,70.06,77.06
490,27691.0,Gianluca Curci,190.5,198,156.0,74.15,73.54,72.23,67.69,74.46,78.77
410,176186.0,Neto,193.04,185,75.0,74.14,75.64,71.07,65.29,73.5,79.71
16,41301.0,Nicolas Penneteau,185.42,172,244.0,74.09,73.36,73.73,77.0,77.0,76.18
524,30992.0,Oscar Ustari,182.88,181,36.0,74.07,78.73,69.0,76.33,68.8,79.93
787,37439.0,Dudu Aouate,187.96,192,158.0,74.07,77.87,69.47,75.33,75.4,74.53
613,26359.0,Teddy Richert,182.88,174,108.0,74.0,76.57,72.57,72.71,77.43,76.71
784,36373.0,Scott Carson,187.96,194,67.0,74.0,77.0,73.58,70.08,67.92,79.33
921,40937.0,Tiago,182.88,181,3.0,73.88,72.88,73.75,73.75,73.25,75.12
167,26167.0,Remy Vercoutre,185.42,172,120.0,73.85,74.08,73.31,76.15,73.77,77.69
551,11319.0,Benoit Costil,187.96,190,181.0,73.85,74.0,72.38,69.15,75.23,77.85
359,42502.0,Michael Agazzi,187.96,187,134.0,73.76,76.29,71.82,63.18,73.35,79.18
662,97363.0,Nilson,185.42,176,104.0,73.75,75.12,71.75,69.12,72.88,74.12
82,41818.0,Jean-Francois Gillet,180.34,176,178.0,73.73,72.27,69.67,70.73,74.33,77.93
273,124127.0,Fabiano,198.12,201,64.0,73.69,75.92,69.77,70.54,75.92,76.0
861,39725.0,Bogdan Lobont,185.42,172,18.0,73.69,72.46,69.62,72.0,76.46,78.0
708,118848.0,Robbin Ruiter,195.58,181,123.0,73.62,72.25,74.62,71.25,74.62,75.38
794,27503.0,Simon Jentzsch,195.58,214,33.0,73.62,75.75,74.38,66.25,72.5,75.38
76,46705.0,Geoffrey Jourdren,180.34,179,212.0,73.6,77.93,69.27,71.0,74.6,77.0
205,109222.0,Vicente Guaita,190.5,179,138.0,73.6,75.4,72.3,69.3,74.0,79.4
43,37770.0,Kasper Schmeichel,185.42,168,62.0,73.53,75.59,71.53,79.53,69.82,77.71
584,33753.0,Gustavo Adolfo Munua,187.96,192,125.0,73.5,73.08,71.08,75.42,73.75,77.25
781,23794.0,Thomas Sorensen,195.58,196,98.0,73.5,75.19,69.69,71.88,74.25,75.94
611,26126.0,Yohann Pele,195.58,196,67.0,73.5,74.2,72.7,70.4,72.6,76.4
867,40709.0,Fabien Audard,187.96,196,176.0,73.5,74.9,69.5,71.4,73.7,77.5
597,23984.0,Carlo Cudicini,185.42,176,20.0,73.47,73.53,74.33,67.73,73.0,75.13
652,27697.0,Luca Castellazzi,193.04,196,67.0,73.44,74.75,72.31,69.44,76.69,73.88
664,39566.0,Alex Manninger,187.96,187,59.0,73.36,73.07,73.79,67.64,73.79,76.0
600,39565.0,Vedran Runje,182.88,187,64.0,73.33,75.67,71.33,70.17,70.67,77.0
537,30850.0,Zeljko Kalac,203.2,209,1.0,73.33,77.0,72.67,74.0,72.67,74.67
208,68813.0,Przemyslaw Tyton,193.04,187,129.0,73.32,80.0,70.37,66.11,68.11,77.05
487,40714.0,Remy Riou,187.96,179,120.0,73.27,74.0,75.67,74.07,72.2,73.87
225,33473.0,Tom Starke,193.04,216,63.0,73.21,75.14,73.93,62.64,71.29,76.36
469,22998.0,Julian Speroni,185.42,192,75.0,73.13,76.47,70.07,68.8,70.87,75.93
782,288880.0,Jack Butland,195.58,209,36.0,73.1,75.6,71.3,66.5,71.5,78.8
354,25156.0,Ali Al-Habsi,193.04,174,101.0,73.05,75.43,69.95,67.95,71.9,76.14
472,30458.0,Ulrich Rame,187.96,187,37.0,73.0,70.5,74.9,72.3,74.1,73.2
898,41762.0,Alessio Scarpi,187.96,183,9.0,73.0,72.75,73.5,73.25,75.75,73.75
438,42306.0,Alexandros Tzorvas,187.96,176,12.0,73.0,75.8,68.2,66.7,71.6,77.4
945,72623.0,Augusto Fernandez,177.8,157,1.0,73.0,8.12,12.12,28.0,16.0,8.62
247,37511.0,Juan Jesus Calatayud,190.5,194,38.0,73.0,74.0,71.11,67.11,73.0,78.22
231,72810.0,Richard Kingson,182.88,183,22.0,73.0,80.0,69.0,63.0,67.0,78.0
181,24229.0,Tim Krul,193.04,181,156.0,72.91,76.09,72.27,68.36,69.0,77.09
489,37377.0,Markus Miller,187.96,203,33.0,72.9,73.9,69.8,65.7,72.9,76.0
142,212815.0,Timo Horn,193.04,198,66.0,72.9,73.52,70.43,73.19,70.76,76.9
63,103428.0,Costel Pantilimon,203.2,212,52.0,72.9,71.6,71.5,68.7,75.5,75.7
189,261348.0,Matheus,187.96,168,26.0,72.89,74.44,65.44,72.44,75.0,77.22
162,33339.0,Gerhard Tremmel,190.5,190,60.0,72.89,71.89,72.22,62.78,74.56,74.44
288,32678.0,German Dario Lux,185.42,170,53.0,72.87,77.87,66.07,65.87,72.0,76.73
72,38391.0,Silvio Proto,185.42,170,184.0,72.85,78.15,67.23,69.15,65.38,80.38
172,35906.0,Tomasz Kuszczak,190.5,185,16.0,72.83,77.22,67.06,61.44,69.72,79.83
587,45306.0,Rafael Bracalli,185.42,172,135.0,72.8,72.67,71.87,68.6,73.87,74.6
543,40602.0,John Ruddy,193.04,212,151.0,72.65,74.41,69.88,68.53,71.24,76.65
699,25018.0,Heinz Mueller,195.58,207,65.0,72.64,74.07,69.43,72.71,72.79,75.21
678,40916.0,Nikolai Mihaylov,193.04,187,87.0,72.63,73.63,73.16,71.63,67.16,77.95
640,181910.0,Mattia Perin,187.96,163,122.0,72.62,72.23,68.54,67.31,70.77,79.23
758,156175.0,Tomas Vaclik,187.96,187,62.0,72.6,71.6,71.8,71.2,74.0,77.0
380,27467.0,Oka Nikolov,187.96,190,77.0,72.57,73.71,69.14,63.71,73.71,75.71
618,42042.0,Gennaro Iezzo,185.42,179,14.0,72.5,71.75,74.25,70.25,75.5,72.0
785,23021.0,Boaz Myhill,190.5,203,116.0,72.5,74.67,70.58,70.25,69.42,74.5
523,38427.0,Jordi Codina,187.96,179,64.0,72.5,75.67,69.92,73.33,69.25,78.25
642,32446.0,David Marshall,190.5,183,37.0,72.5,74.62,69.19,68.06,71.31,75.62
248,37216.0,Piet Velthuizen,187.96,198,156.0,72.41,72.88,70.47,69.35,67.94,78.47
656,203527.0,Guillermo Sara,182.88,181,15.0,72.4,78.9,66.3,70.2,67.5,77.4
217,38805.0,Stephan Andersen,187.96,181,56.0,72.3,71.25,68.45,62.35,75.05,73.2
676,26536.0,Sander Boschker,185.42,192,58.0,72.3,70.9,74.8,68.4,76.0,70.9
55,37149.0,Henrique Hilario,187.96,194,5.0,72.29,75.57,66.0,59.0,68.71,81.0
202,19435.0,Renan,185.42,181,54.0,72.27,75.0,70.36,74.45,70.09,75.64
560,26190.0,Gregory Wimbee,193.04,194,38.0,72.25,71.0,74.0,63.5,76.25,69.0
834,96836.0,Ricardo,187.96,185,100.0,72.23,73.92,70.77,62.85,71.85,74.38
509,40672.0,Francisco Casilla,190.5,185,113.0,72.21,71.36,75.29,65.79,73.21,71.86
605,75195.0,Juan Pablo,187.96,183,136.0,72.2,74.3,71.2,69.0,70.1,76.0
917,33769.0,Eduardo Costa,185.42,187,1.0,72.2,11.2,17.4,46.8,14.6,16.2
258,47566.0,Fabri,182.88,176,49.0,72.17,72.83,76.11,68.67,68.06,73.0
379,145550.0,Kevin Trapp,187.96,194,149.0,72.17,73.08,71.42,71.33,70.25,74.25
764,37322.0,Mathias Schober,190.5,207,4.0,72.17,73.17,74.0,62.33,72.5,70.83
64,24527.0,Marton Fulop,198.12,203,42.0,72.14,74.43,68.57,70.0,68.71,76.29
413,103218.0,Ciprian Tatarusanu,195.58,194,46.0,72.12,71.12,70.5,71.38,73.62,74.12
470,36283.0,Wayne Hennessey,198.12,198,103.0,72.12,73.69,70.88,74.5,69.62,75.38
14,13034.0,Michalis Sifakis,185.42,174,7.0,72.09,73.91,67.0,71.55,71.27,76.27
274,104986.0,Andres Fernandez,182.88,190,149.0,72.07,73.79,70.43,67.0,69.43,76.5
147,41186.0,Christophe Revault,185.42,194,33.0,72.0,74.83,66.33,70.17,71.0,75.83
492,39354.0,Emanuele Manitta,187.96,183,5.0,72.0,76.0,68.0,66.0,76.0,72.0
355,34421.0,Chris Kirkland,190.5,163,68.0,71.94,72.89,73.5,68.5,70.61,73.06
182,24227.0,Steve Harper,187.96,201,60.0,71.92,71.46,73.62,70.0,74.54,72.31
322,26275.0,Alexis Thebaux,185.42,179,111.0,71.89,71.89,70.0,67.72,71.56,77.17
216,33958.0,Asier Riesgo,185.42,168,75.0,71.88,73.38,71.88,66.62,72.88,72.12
138,95336.0,Fraser Forster,200.66,198,188.0,71.86,71.68,72.32,66.14,72.05,77.27
459,36878.0,Thomas Kraft,187.96,172,116.0,71.82,74.82,68.06,62.94,66.47,80.0
424,42702.0,Rubinho,182.88,198,54.0,71.79,73.5,69.43,64.0,71.93,76.36
185,37233.0,Vito Mannone,187.96,176,72.0,71.73,72.82,70.82,65.55,69.18,74.45
606,33630.0,Ivan Cuellar,187.96,181,64.0,71.7,71.1,73.8,69.0,68.5,76.0
667,39401.0,Julio Sergio,187.96,176,56.0,71.67,68.89,69.89,69.33,72.78,77.44
512,113695.0,Cristian Alvarez,185.42,194,70.0,71.62,77.0,66.54,67.54,67.15,77.08
297,112978.0,Roman Buerki,187.96,187,178.0,71.58,75.11,68.37,67.0,68.53,76.26
481,26215.0,Flavio Roma,190.5,190,5.0,71.57,72.43,73.14,67.86,70.86,71.14
705,74736.0,Roberto Fernandez,180.34,174,119.0,71.55,76.1,67.65,66.75,68.7,77.95
634,128083.0,Vagner,185.42,176,91.0,71.5,75.5,67.67,67.92,70.08,74.67
562,33546.0,Ronan Le Crom,185.42,170,16.0,71.5,71.25,71.75,67.0,72.75,72.25
879,34489.0,Henk Timmer,187.96,172,20.0,71.5,70.0,74.0,76.0,66.0,74.0
596,33731.0,Esteban,177.8,154,51.0,71.5,71.42,71.83,71.17,74.25,69.58
729,23265.0,"Patrick Kenny,30",185.42,209,33.0,71.43,68.86,70.57,69.0,72.0,73.5
73,37990.0,Stijn Stijnen,187.96,183,81.0,71.4,72.8,66.7,66.3,71.2,73.9
627,105828.0,Rafael,187.96,176,69.0,71.38,74.0,69.23,60.92,73.0,75.92
884,214984.0,Esteban Alvarado,193.04,187,134.0,71.35,74.47,69.94,71.41,67.12,75.41
533,618878.0,Gianluigi Donnarumma,195.58,198,30.0,71.33,74.67,64.67,74.0,69.0,78.0
665,41881.0,Antonio Chimenti,182.88,183,2.0,71.33,68.33,71.33,76.33,73.67,72.33
654,30855.0,Ricardo,185.42,176,35.0,71.31,75.38,65.85,78.0,71.92,73.31
776,23813.0,Maik Taylor,193.04,198,2.0,71.3,64.2,76.0,71.5,76.7,70.1
885,42573.0,Joey Didulica,190.5,172,19.0,71.29,74.71,67.86,61.43,71.71,72.71
485,26313.0,Jerome Alonzo,185.42,183,27.0,71.25,73.5,62.25,60.75,70.5,77.25
4,20747.0,Eiji Kawashima,185.42,181,110.0,71.23,73.08,66.46,68.54,68.38,78.54
298,36054.0,Marc Ziegler,193.04,203,6.0,71.2,72.0,68.3,67.3,71.2,72.2
865,40094.0,Rune Almenning Jarstein,190.5,181,30.0,71.18,70.5,69.68,71.09,70.55,76.18
513,80265.0,Giedrius Arlauskis,182.88,176,3.0,71.14,72.71,65.29,70.29,74.0,79.29
800,27447.0,Mathias Hain,187.96,190,3.0,71.14,69.43,73.14,64.86,76.0,67.43
737,150236.0,Jeroen Zoet,187.96,187,162.0,71.06,72.0,70.25,70.81,69.69,73.38
577,40976.0,Marcelo Moretto,195.58,207,26.0,71.0,72.67,62.33,66.33,71.67,74.0
175,19393.0,Diego,187.96,203,81.0,71.0,72.25,73.12,68.5,74.25,71.5
721,36058.0,Dennis Eilhoff,190.5,198,34.0,71.0,73.22,67.22,60.33,68.11,74.67
321,11320.0,Steeve Elana,187.96,187,95.0,71.0,75.83,72.42,63.5,67.92,72.17
937,39233.0,Gabriel Penalba,187.96,187,1.0,71.0,6.5,13.5,5.5,6.5,11.5
364,40648.0,Antonio Adan,190.5,203,61.0,71.0,70.36,75.27,64.45,67.91,75.09
821,22418.0,Peterson Pecanha,182.88,170,56.0,71.0,70.2,69.2,64.4,69.8,72.6
350,115171.0,Julio Cesar Machado,165.1,139,2.0,71.0,12.38,15.5,44.25,18.88,17.0
644,13033.0,Orestis Karnezis,190.5,174,81.0,70.93,72.79,68.86,65.93,71.29,74.0
682,120621.0,Douglas,187.96,194,89.0,70.92,72.25,70.17,68.5,72.25,72.5
692,101584.0,Cassio,195.58,220,9.0,70.92,72.83,65.5,67.0,69.92,74.42
269,163843.0,Julio Cesar,193.04,176,38.0,70.89,71.33,67.78,68.33,70.11,73.89
399,50669.0,Christian Puggioni,187.96,179,55.0,70.87,72.73,69.13,60.67,70.4,75.13
496,26335.0,Simon Pouplin,187.96,172,94.0,70.87,71.47,71.07,67.87,69.27,73.4
526,210164.0,Alphonse Areola,190.5,201,68.0,70.85,72.31,70.0,69.23,70.08,74.0
294,37678.0,Tobias Sippel,180.34,172,38.0,70.85,72.31,68.54,67.46,66.62,76.31
813,17869.0,Dusan Kuciak,193.04,203,117.0,70.83,73.67,64.08,64.75,74.75,73.83
516,104033.0,Ruud Boffin,195.58,190,6.0,70.83,73.83,67.33,69.5,71.0,75.83
280,41708.0,Fabio Coltorti,198.12,209,50.0,70.8,70.5,70.1,68.8,70.9,74.0
698,27488.0,Christian Wetklo,190.5,203,82.0,70.8,73.33,66.67,62.87,68.4,74.73
134,27504.0,Andre Lenz,190.5,205,11.0,70.8,70.6,72.4,53.6,75.4,71.2
637,34003.0,Ludovic Butelle,187.96,185,41.0,70.77,72.92,71.38,63.54,66.69,72.69
647,106294.0,Ivan Kelava,195.58,198,10.0,70.75,73.0,70.75,60.0,70.5,75.5
894,128689.0,Sebastian Mielitz,187.96,187,60.0,70.73,72.6,69.4,67.2,68.13,73.87
622,33644.0,Antonio Doblas,182.88,179,18.0,70.67,68.67,64.5,68.33,76.33,73.17
164,73462.0,Kristoffer Nordfeldt,190.5,187,104.0,70.57,71.86,65.57,66.0,70.86,77.43
11,114963.0,Fabian Giefer,195.58,205,42.0,70.54,72.92,66.85,56.0,68.08,76.23
381,177953.0,Felix Wiedwald,190.5,181,43.0,70.54,72.38,67.0,59.54,68.38,75.85
201,489240.0,Jaume,187.96,168,17.0,70.5,74.83,72.33,69.0,66.67,72.67
251,19434.0,Marcelo Boeck,190.5,190,36.0,70.5,72.0,69.75,64.31,69.25,73.12
119,26510.0,Gabor Babos,195.58,203,107.0,70.46,71.38,67.23,59.69,72.62,71.69
506,300532.0,Sergio Rico,193.04,194,53.0,70.44,72.11,70.0,67.33,68.44,73.11
315,23793.0,Stuart Taylor,195.58,190,4.0,70.43,68.29,73.14,69.14,68.86,72.71
650,30669.0,Marcus Hahnemann,190.5,220,39.0,70.42,69.42,69.92,71.08,70.75,72.42
